receipt_number,word,POS,Nalp,Nnum,Nspec,length,Ndot,Ncomma,Ncolons,tag
20_29,the,DT,3,0,0,3,0,0,0,EXTRA
20_29,item,NN,4,0,0,4,0,0,0,EXTRA
20_29,(,(,0,0,1,1,0,0,0,EXTRA
20_29,exchangeable*,NN,12,0,1,13,0,0,0,EXTRA
20_29,),),0,0,1,1,0,0,0,EXTRA
20_29,&,CC,0,0,1,1,0,0,0,EXTRA
20_29,bill,NN,4,0,0,4,0,0,0,EXTRA
20_29,within,IN,6,0,0,6,0,0,0,EXTRA
20_29,7,CD,0,1,0,1,0,0,0,EXTRA
20_29,day,NN,3,0,0,3,0,0,0,EXTRA
20_29,Designed,VBN,8,0,0,8,0,0,0,EXTRA
20_29,by,IN,2,0,0,2,0,0,0,EXTRA
20_29,NUM,NNP,3,0,0,3,0,0,0,EXTRA
20_29,SOLUTIONS,NNP,9,0,0,9,0,0,0,EXTRA
20_29,776843023,CD,0,9,0,9,0,0,0,EXTRA
20_29,",",",",0,0,1,1,0,1,0,EXTRA
20_29,11315693,CD,0,8,0,8,0,0,0,EXTRA
16_37,&,CC,0,0,1,1,0,0,0,EXTRA
16_37,Bill,NNP,4,0,0,4,0,0,0,EXTRA
16_37,within,IN,6,0,0,6,0,0,0,EXTRA
16_37,7,CD,0,1,0,1,0,0,0,EXTRA
16_37,day,NN,3,0,0,3,0,0,0,EXTRA
16_37,s,NNS,1,0,0,1,0,0,0,EXTRA
16_37,Designed,VBN,8,0,0,8,0,0,0,EXTRA
16_37,by,IN,2,0,0,2,0,0,0,EXTRA
16_37,NVM,NNP,3,0,0,3,0,0,0,EXTRA
16_37,SOLUTINS,NNP,8,0,0,8,0,0,0,EXTRA
16_37,776843023,CD,0,9,0,9,0,0,0,EXTRA
16_37,",",",",0,0,1,1,0,1,0,EXTRA
16_37,113159693,CD,0,9,0,9,0,0,0,EXTRA
16_37,MEGA,NN,4,0,0,4,0,0,0,SHOP_NAME
16_37,MALL,NNP,4,0,0,4,0,0,0,SHOP_NAME
16_37,SUPER,NNP,5,0,0,5,0,0,0,SHOP_NAME
16_37,MARKET,NNP,6,0,0,6,0,0,0,SHOP_NAME
16_37,114,CD,0,3,0,3,0,0,0,SHOP_ADDRESS
16_37,",",",",0,0,1,1,0,1,0,SHOP_ADDRESS
16_37,Navalar,NNP,7,0,0,7,0,0,0,SHOP_ADDRESS
16_37,Road,NNP,4,0,0,4,0,0,0,SHOP_ADDRESS
16_37,",",",",0,0,1,1,0,1,0,SHOP_ADDRESS
16_37,Jaffna,NNP,6,0,0,6,0,0,0,SHOP_ADDRESS
16_37,TEL,NNP,3,0,0,3,0,0,0,TELEPHONE_NUMBER
16_37,:,:,0,0,1,1,0,0,1,TELEPHONE_NUMBER
16_37,212224343,CD,0,9,0,9,0,0,0,TELEPHONE_NUMBER
16_37,April,NNP,5,0,0,5,0,0,0,TIME
16_37,13,CD,0,2,0,2,0,0,0,TIME
16_37,",",",",0,0,1,1,0,1,0,TIME
16_37,2019,CD,0,4,0,4,0,0,0,TIME
16_37,",",",",0,0,1,1,0,1,0,TIME
16_37,8:23,CD,0,3,1,4,0,0,1,TIME
16_37,Ref,NNP,3,0,0,3,0,0,0,TIME
16_37,284800,CD,0,6,0,6,0,0,0,INVOICE_NUMBER
16_37,User,NNP,4,0,0,4,0,0,0,INVOICE_NUMBER
16_37,sivaa,JJ,5,0,0,5,0,0,0,USER
16_37,anchor:milk,JJ,10,0,1,11,0,0,1,USER
16_37,powder:400g,JJ,7,3,1,11,0,0,1,PRODUCT_NAME
16_37,MP00102,NNP,2,5,0,7,0,0,0,BATCH_CODE
16_37,:,:,0,0,1,1,0,0,1,EXTRA
16_37,1,CD,0,1,0,1,0,0,0,QTY
16_37,370,CD,0,3,0,3,0,0,0,UNIT_PRICE
16_37,370,CD,0,3,0,3,0,0,0,AMOUNT
16_37,special,JJ,7,0,0,7,0,0,0,PRODUCT_NAME
16_37,mixture:am,JJ,9,0,1,10,0,0,1,PRODUCT_NAME
16_37,industries:250g:706,JJ,11,6,2,19,0,0,2,PRODUCT_NAME
16_37,SN00215,NN,2,5,0,7,0,0,0,BATCH_CODE
16_37,:,:,0,0,1,1,0,0,1,EXTRA
16_37,1,CD,0,1,0,1,0,0,0,QTY
16_37,100,CD,0,3,0,3,0,0,0,UNIT_PRICE
16_37,100,CD,0,3,0,3,0,0,0,AMOUNT
16_37,No,NN,2,0,0,2,0,0,0,TOTAL_ITEMS
16_37,of,IN,2,0,0,2,0,0,0,TOTAL_ITEMS
16_37,item,NN,4,0,0,4,0,0,0,TOTAL_ITEMS
16_37,:,:,0,0,1,1,0,0,1,TOTAL_ITEMS
16_37,2,CD,0,1,0,1,0,0,0,TOTAL_ITEMS
16_37,Total,NN,5,0,0,5,0,0,0,TOTAL
16_37,:,:,0,0,1,1,0,0,1,TOTAL
16_37,Rs,JJ,2,0,0,2,0,0,0,TOTAL
16_37,470,CD,0,3,0,3,0,0,0,TOTAL
16_37,Paid,VBN,4,0,0,4,0,0,0,CASH
16_37,by,IN,2,0,0,2,0,0,0,CASH
16_37,cash,NN,4,0,0,4,0,0,0,CASH
16_37,:,:,0,0,1,1,0,0,1,CASH
16_37,Rs,JJ,2,0,0,2,0,0,0,CASH
16_37,500,CD,0,3,0,3,0,0,0,CASH
16_37,Change,NN,6,0,0,6,0,0,0,BALANCE
16_37,:,:,0,0,1,1,0,0,1,BALANCE
16_37,Rs,JJ,2,0,0,2,0,0,0,BALANCE
16_37,30,CD,0,2,0,2,0,0,0,BALANCE
16_37,Thank,NNP,5,0,0,5,0,0,0,EXTRA
16_37,you,PRP,3,0,0,3,0,0,0,EXTRA
16_37,for,IN,3,0,0,3,0,0,0,EXTRA
16_37,shopping,VBG,8,0,0,8,0,0,0,EXTRA
16_37,Notice,NNP,6,0,0,6,0,0,0,EXTRA
16_37,Any,NNP,3,0,0,3,0,0,0,EXTRA
16_37,discrepancy,NN,11,0,0,11,0,0,0,EXTRA
16_37,",",",",0,0,1,1,0,1,0,EXTRA
16_37,return,VBP,6,0,0,6,0,0,0,EXTRA
16_37,the,DT,3,0,0,3,0,0,0,EXTRA
16_37,item,NN,4,0,0,4,0,0,0,EXTRA
16_37,(,(,0,0,1,1,0,0,0,EXTRA
16_37,exchangeable*,NN,12,0,1,13,0,0,0,EXTRA
16_37,),),0,0,1,1,0,0,0,EXTRA
3_80,Mega,JJ,4,0,0,4,0,0,0,SHOP_NAME
3_80,Mall,NNP,4,0,0,4,0,0,0,SHOP_NAME
3_80,Super,NNP,5,0,0,5,0,0,0,SHOP_NAME
3_80,Market,NNP,6,0,0,6,0,0,0,SHOP_NAME
3_80,114,CD,0,3,0,3,0,0,0,SHOP_ADDRESS
3_80,",",",",0,0,1,1,0,1,0,SHOP_ADDRESS
3_80,Navalar,NNP,7,0,0,7,0,0,0,SHOP_ADDRESS
3_80,road,NN,4,0,0,4,0,0,0,SHOP_ADDRESS
3_80,",",",",0,0,1,1,0,1,0,SHOP_ADDRESS
3_80,Jaffna,NNP,6,0,0,6,0,0,0,SHOP_ADDRESS
3_80,.,.,0,0,1,1,1,0,0,SHOP_ADDRESS
3_80,TEL:021,NNP,3,3,1,7,0,0,1,TELEPHONE_NUMBER
3_80,222,CD,0,3,0,3,0,0,0,TELEPHONE_NUMBER
3_80,4343,CD,0,4,0,4,0,0,0,TELEPHONE_NUMBER
3_80,"March,19",NNP,5,2,1,8,0,1,0,TIME
3_80,",",",",0,0,1,1,0,1,0,TIME
3_80,"2019,20:28",CD,0,8,2,10,0,1,1,TIME
3_80,Ref:277550,NNP,3,6,1,10,0,0,1,INVOICE_NUMBER
3_80,User,NNP,4,0,0,4,0,0,0,USER
3_80,:,:,0,0,1,1,0,0,1,USER
3_80,sivaa,NN,5,0,0,5,0,0,0,USER
3_80,Key,NNP,3,0,0,3,0,0,0,PRODUCT_NAME
3_80,tag:ke:130,JJ,5,3,2,10,0,0,2,PRODUCT_NAME
3_80,FC03176,NNP,2,5,0,7,0,0,0,BATCH_CODE
3_80,:,:,0,0,1,1,0,0,1,EXTRA
3_80,1,CD,0,1,0,1,0,0,0,QTY
3_80,130,CD,0,3,0,3,0,0,0,UNIT_PRICE
3_80,130,CD,0,3,0,3,0,0,0,AMOUNT
3_80,No,DT,2,0,0,2,0,0,0,TOTAL_ITEMS
3_80,of,IN,2,0,0,2,0,0,0,TOTAL_ITEMS
3_80,items,NNS,5,0,0,5,0,0,0,TOTAL_ITEMS
3_80,:,:,0,0,1,1,0,0,1,TOTAL_ITEMS
3_80,1,CD,0,1,0,1,0,0,0,TOTAL_ITEMS
3_80,Total,NN,5,0,0,5,0,0,0,TOTAL
3_80,:,:,0,0,1,1,0,0,1,TOTAL
3_80,RS,JJ,2,0,0,2,0,0,0,TOTAL
3_80,130,CD,0,3,0,3,0,0,0,TOTAL
3_80,PAID,VBN,4,0,0,4,0,0,0,CASH
3_80,by,IN,2,0,0,2,0,0,0,CASH
3_80,CASH,NNP,4,0,0,4,0,0,0,CASH
3_80,:,:,0,0,1,1,0,0,1,CASH
3_80,RS,JJ,2,0,0,2,0,0,0,CASH
3_80,500,CD,0,3,0,3,0,0,0,CASH
3_80,Change,NN,6,0,0,6,0,0,0,BALANCE
3_80,:,:,0,0,1,1,0,0,1,BALANCE
3_80,RS,JJ,2,0,0,2,0,0,0,BALANCE
3_80,370,CD,0,3,0,3,0,0,0,BALANCE
3_80,Thank,NNP,5,0,0,5,0,0,0,EXTRA
3_80,You,PRP,3,0,0,3,0,0,0,EXTRA
3_80,For,IN,3,0,0,3,0,0,0,EXTRA
3_80,Shopping,VBG,8,0,0,8,0,0,0,EXTRA
3_80,Notice,NNP,6,0,0,6,0,0,0,EXTRA
3_80,Any,NNP,3,0,0,3,0,0,0,EXTRA
3_80,discrepancy,NN,11,0,0,11,0,0,0,EXTRA
3_80,",",",",0,0,1,1,0,1,0,EXTRA
3_80,return,VBP,6,0,0,6,0,0,0,EXTRA
3_80,the,DT,3,0,0,3,0,0,0,EXTRA
3_80,item,NN,4,0,0,4,0,0,0,EXTRA
3_80,(,(,0,0,1,1,0,0,0,EXTRA
3_80,exchangeable*,NN,12,0,1,13,0,0,0,EXTRA
3_80,),),0,0,1,1,0,0,0,EXTRA
3_80,&,CC,0,0,1,1,0,0,0,EXTRA
3_80,Bill,NNP,4,0,0,4,0,0,0,EXTRA
3_80,within,IN,6,0,0,6,0,0,0,EXTRA
3_80,7,CD,0,1,0,1,0,0,0,EXTRA
3_80,days,NNS,4,0,0,4,0,0,0,EXTRA
3_80,Design,NNP,6,0,0,6,0,0,0,EXTRA
3_80,by,IN,2,0,0,2,0,0,0,EXTRA
3_80,NVH,NNP,3,0,0,3,0,0,0,EXTRA
3_80,SOLUTIONS,NNP,9,0,0,9,0,0,0,EXTRA
3_80,776843023,CD,0,9,0,9,0,0,0,EXTRA
3_80,113159693,CD,0,9,0,9,0,0,0,EXTRA
7_33,MEGA,NNP,4,0,0,4,0,0,0,SHOP_NAME
7_33,MALL,NNP,4,0,0,4,0,0,0,SHOP_NAME
7_33,SUPER,NNP,5,0,0,5,0,0,0,SHOP_NAME
7_33,MARKET,NNP,6,0,0,6,0,0,0,SHOP_NAME
7_33,114,CD,0,3,0,3,0,0,0,SHOP_ADDRESS
7_33,",",",",0,0,1,1,0,1,0,SHOP_ADDRESS
7_33,Navalar,NNP,7,0,0,7,0,0,0,SHOP_ADDRESS
7_33,road,NN,4,0,0,4,0,0,0,SHOP_ADDRESS
7_33,",",",",0,0,1,1,0,1,0,SHOP_ADDRESS
7_33,Jaffna,NNP,6,0,0,6,0,0,0,SHOP_ADDRESS
7_33,TEL:0212224343,NNP,3,10,1,14,0,0,1,TELEPHONE_NUMBER
7_33,"March,22,2019,12:22",NNP,5,10,4,19,0,3,1,TIME
7_33,Ref,NNP,3,0,0,3,0,0,0,INVOICE_NUMBER
7_33,278247,CD,0,6,0,6,0,0,0,INVOICE_NUMBER
7_33,User,NNP,4,0,0,4,0,0,0,USER
7_33,sivaa,VBD,5,0,0,5,0,0,0,USER
7_33,nescafe:1.2g,JJ,8,2,2,12,1,0,1,PRODUCT_NAME
7_33,GY02182,NNP,2,5,0,7,0,0,0,BATCH_CODE
7_33,3,CD,0,1,0,1,0,0,0,QTY
7_33,10,CD,0,2,0,2,0,0,0,UNIT_PRICE
7_33,30,CD,0,2,0,2,0,0,0,AMOUNT
7_33,papadam:ruhunu:50g,NN,14,2,2,18,0,0,2,PRODUCT_NAME
7_33,GY01361:2x35.00=70.00,NNP,3,14,4,21,2,0,1,BATCH_CODE
7_33,2,CD,0,1,0,1,0,0,0,QTY
7_33,35,CD,0,2,0,2,0,0,0,UNIT_PRICE
7_33,70,CD,0,2,0,2,0,0,0,AMOUNT
7_33,No,NNP,2,0,0,2,0,0,0,TOTAL_ITEMS
7_33,of,IN,2,0,0,2,0,0,0,TOTAL_ITEMS
7_33,item,NN,4,0,0,4,0,0,0,TOTAL_ITEMS
7_33,:,:,0,0,1,1,0,0,1,TOTAL_ITEMS
7_33,2,CD,0,1,0,1,0,0,0,TOTAL_ITEMS
7_33,Total,NN,5,0,0,5,0,0,0,TOTAL
7_33,:,:,0,0,1,1,0,0,1,TOTAL
7_33,RS,JJ,2,0,0,2,0,0,0,TOTAL
7_33,100,CD,0,3,0,3,0,0,0,TOTAL
7_33,PAID,VBN,4,0,0,4,0,0,0,CASH
7_33,By,IN,2,0,0,2,0,0,0,CASH
7_33,CASH,NNP,4,0,0,4,0,0,0,CASH
