receipt_number,word,POS,tag,
3_1,(,(,EXTRA,
3_1,exchangeable*,NN,EXTRA,
3_1,),),EXTRA,
3_1,&,CC,EXTRA,
3_1,bill,NN,EXTRA,
3_1,within,IN,EXTRA,
3_1,7days,CD,EXTRA,
3_1,Designed,VBN,EXTRA,
3_1,by,IN,EXTRA,
3_1,NVM,NNP,EXTRA,
3_1,SOLUTIONS,NNP,EXTRA,
3_1,776843023,CD,EXTRA,
3_1,",",",",EXTRA,
3_1,113159693,CD,EXTRA,
3_19,Mega,JJ,SHOP_NAME,
3_19,Mall,NNP,SHOP_NAME,
3_19,Super,NNP,SHOP_NAME,
3_19,Market,NNP,SHOP_NAME,
3_19,114,CD,SHOP_ADDRESS,
3_19,",",",",SHOP_ADDRESS,
3_19,Navalar,NNP,SHOP_ADDRESS,
3_19,Road,NNP,SHOP_ADDRESS,
3_19,",",",",SHOP_ADDRESS,
3_19,Jaffna,NNP,SHOP_ADDRESS,
3_19,TEL,NNP,TELEPHONE_NUMBER,
3_19,:021,VBD,TELEPHONE_NUMBER,
3_19,222,CD,TELEPHONE_NUMBER,
3_19,4343,CD,TELEPHONE_NUMBER,
3_19,"March,20,2019,13:12",NNP,TIME,
3_19,Ref,NNP,INVOICE_NUMBER,
3_19,277668,CD,INVOICE_NUMBER,
3_19,User,NNP,USER,
3_19,sivaa,VBD,USER,
3_19,7up,CD,PRODUCT_NAME,
3_19,:,:,EXTRA,
3_19,500ml,CD,PRODUCT_NAME,
3_19,RV00147,NN,BATCH_CODE,
3_19,:,:,EXTRA,
3_19,1,CD,QTY,
3_19,x100.00,NN,UNIT_PRICE,
3_19,=,VBD,EXTRA,
3_19,100,CD,AMOUNT,
3_19,No,NNP,TOTAL_ITEMS,
3_19,of,IN,TOTAL_ITEMS,
3_19,item,NN,TOTAL_ITEMS,
3_19,:,:,TOTAL_ITEMS,
3_19,1,CD,TOTAL_ITEMS,
3_19,Total,NN,TOTAL,
3_19,:,:,TOTAL,
3_19,RS,JJ,TOTAL,
3_19,100,CD,TOTAL,
3_19,Paid,VBN,CASH,
3_19,by,IN,CASH,
3_19,cash,NN,CASH,
3_19,:,:,CASH,
3_19,RS,JJ,CASH,
3_19,100,CD,BALANCE,
3_19,Change,NN,BALANCE,
3_19,:,:,BALANCE,
3_19,RS,JJ,BALANCE,
3_19,0,CD,BALANCE,
3_19,Thank,NNP,EXTRA,
3_19,You,PRP,EXTRA,
3_19,For,IN,EXTRA,
3_19,Shopping,VBG,EXTRA,
3_19,Notice,NNP,EXTRA,
3_19,Any,NNP,EXTRA,
3_19,Discrepancy,NNP,EXTRA,
3_19,",",",",EXTRA,
3_19,return,VBP,EXTRA,
3_19,the,DT,EXTRA,
3_19,item,NN,EXTRA,
3_19,(,(,EXTRA,
3_19,exchangeable*,NN,EXTRA,
3_19,),),EXTRA,
3_19,&,CC,EXTRA,
3_19,bill,NN,EXTRA,
3_19,within,IN,EXTRA,
3_19,7,CD,EXTRA,
3_19,days,NNS,EXTRA,
3_19,Designed,VBN,EXTRA,
3_19,by,IN,EXTRA,
3_19,NVM,NNP,EXTRA,
3_19,SOLUTIONS,NNP,EXTRA,
3_19,776843023,CD,EXTRA,
3_19,",",",",EXTRA,
3_19,113159693,CD,EXTRA,
3_6,Mega,JJ,SHOP_NAME,
3_6,Mall,NNP,SHOP_NAME,
3_6,Super,NNP,SHOP_NAME,
3_6,Market,NNP,SHOP_NAME,
3_6,114,CD,SHOP_ADDRESS,
3_6,",",",",SHOP_ADDRESS,
3_6,Navalar,NNP,SHOP_ADDRESS,
3_6,Road,NNP,SHOP_ADDRESS,
3_6,",",",",SHOP_ADDRESS,
3_6,Jaffna,NNP,SHOP_ADDRESS,
3_6,TEL,NNP,TELEPHONE_NUMBER,
3_6,:021,VBD,TELEPHONE_NUMBER,
3_6,222,CD,TELEPHONE_NUMBER,
3_6,4343,CD,TELEPHONE_NUMBER,
3_6,"March,20,2019,13:26",NNP,TIME,
3_6,Ref,NNP,INVOICE_NUMBER,
3_6,277675,CD,INVOICE_NUMBER,
3_6,User,NNP,USER,
3_6,sivaa,NN,USER,
3_6,Papadam,NNP,PRODUCT_NAME,
3_6,:,:,PRODUCT_NAME,
3_6,ruhunu,NN,PRODUCT_NAME,
3_6,:,:,PRODUCT_NAME,
3_6,50g,CD,PRODUCT_NAME,
3_6,GY01361,NNP,BATCH_CODE,
3_6,:,:,EXTRA,
3_6,1,CD,QTY,
3_6,x35.00,NN,UNIT_PRICE,
3_6,=,VBD,EXTRA,
3_6,35,CD,AMOUNT,
3_6,No,NNP,TOTAL_ITEMS,
3_6,of,IN,TOTAL_ITEMS,
3_6,item,NN,TOTAL_ITEMS,
3_6,:,:,TOTAL_ITEMS,
3_6,1,CD,TOTAL_ITEMS,
3_6,Total,NN,TOTAL,
3_6,:,:,TOTAL,
3_6,RS,JJ,TOTAL,
3_6,35,CD,TOTAL,
3_6,Paid,VBN,CASH,
3_6,by,IN,CASH,
3_6,cash,NN,CASH,
3_6,:,:,CASH,
3_6,RS,JJ,CASH,
3_6,40,CD,CASH,
3_6,Change,NN,BALANCE,
3_6,:,:,BALANCE,
3_6,RS,JJ,BALANCE,
3_6,5,CD,BALANCE,
3_6,Thank,NNP,EXTRA,
3_6,You,PRP,EXTRA,
3_6,For,IN,EXTRA,
3_6,Shopping,VBG,EXTRA,
3_6,Notice,NNP,EXTRA,
3_6,Any,NNP,EXTRA,
3_6,Discrepancy,NNP,EXTRA,
3_6,",",",",EXTRA,
3_6,return,VBP,EXTRA,
3_6,the,DT,EXTRA,
3_6,item,NN,EXTRA,
3_6,(,(,EXTRA,
3_6,exchangeable*,NN,EXTRA,
3_6,),),EXTRA,
3_6,&,CC,EXTRA,
3_6,bill,NN,EXTRA,
3_6,within,IN,EXTRA,
3_6,7days,CD,EXTRA,
3_6,Designed,VBN,EXTRA,
3_6,by,IN,EXTRA,
3_6,NVM,NNP,EXTRA,
3_6,SOLUTIONS,NNP,EXTRA,
3_6,776843023,CD,EXTRA,
3_6,",",",",EXTRA,
3_6,113159693,CD,EXTRA,
3_16,Mega,JJ,SHOP_NAME,
3_16,Mall,NNP,SHOP_NAME,
3_16,Super,NNP,SHOP_NAME,
3_16,Market,NNP,SHOP_NAME,
3_16,114,CD,SHOP_ADDRESS,
3_16,",",",",SHOP_ADDRESS,
3_16,Navalar,NNP,SHOP_ADDRESS,
3_16,Road,NNP,SHOP_ADDRESS,
3_16,",",",",SHOP_ADDRESS,
3_16,Jaffna,NNP,SHOP_ADDRESS,
3_16,TEL,NNP,TELEPHONE_NUMBER,
3_16,:021,VBD,TELEPHONE_NUMBER,
3_16,222,CD,TELEPHONE_NUMBER,
3_16,4343,CD,TELEPHONE_NUMBER,
3_16,"March,20,2019,14:04",NNP,TIME,
3_16,Ref,NNP,INVOICE_NUMBER,
3_16,277690,CD,INVOICE_NUMBER,
3_16,User,NNP,USER,
3_16,sivaa,NN,USER,
3_16,Himalaya,NNP,PRODUCT_NAME,
3_16,purifying,VBG,PRODUCT_NAME,
3_16,neem,JJ,PRODUCT_NAME,
3_16,:,:,PRODUCT_NAME,
3_16,50ml,CD,PRODUCT_NAME,
3_16,PC00362,NN,BATCH_CODE,
3_16,:,:,EXTRA,
3_16,1,CD,QTY,
3_16,x285.00,NN,UNIT_PRICE,
3_16,=,VBD,EXTRA,
3_16,285,CD,AMOUNT,
3_16,No,NNP,TOTAL_ITEMS,
3_16,of,IN,TOTAL_ITEMS,
3_16,item,NN,TOTAL_ITEMS,
3_16,:,:,TOTAL_ITEMS,
3_16,1,CD,TOTAL_ITEMS,
3_16,Total,NN,TOTAL,
3_16,:,:,TOTAL,
3_16,RS,JJ,TOTAL,
3_16,285,CD,TOTAL,
3_16,Paid,VBN,CASH,
3_16,by,IN,CASH,
3_16,cash,NN,CASH,
3_16,:,:,CASH,
3_16,RS,JJ,CASH,
3_16,500,CD,CASH,
3_16,Change,NN,BALANCE,
3_16,:,:,BALANCE,
3_16,RS,JJ,BALANCE,
3_16,215,CD,BALANCE,
3_16,Thank,NNP,EXTRA,
3_16,You,PRP,EXTRA,
3_16,For,IN,EXTRA,
3_16,Shopping,VBG,EXTRA,
3_16,Notice,NNP,EXTRA,
3_16,Any,NNP,EXTRA,
3_16,Discrepancy,NNP,EXTRA,
3_16,",",",",EXTRA,
3_16,return,VBP,EXTRA,
3_16,the,DT,EXTRA,
3_16,item,NN,EXTRA,
3_16,(,(,EXTRA,
3_16,exchangeable*,NN,EXTRA,
3_16,),),EXTRA,
3_16,&,CC,EXTRA,
3_16,bill,NN,EXTRA,
3_16,within,IN,EXTRA,
3_16,7,CD,EXTRA,
3_16,days,NNS,EXTRA,
3_16,Designed,VBN,EXTRA,
3_16,by,IN,EXTRA,
3_16,NVM,NNP,EXTRA,
3_16,SOLUTIONS,NNP,EXTRA,
3_16,776843023,CD,EXTRA,
3_16,",",",",EXTRA,
3_16,113159693,CD,EXTRA,
3_24,Mega,JJ,SHOP_NAME,
3_24,Mall,NNP,SHOP_NAME,
3_24,Super,NNP,SHOP_NAME,
3_24,Market,NNP,SHOP_NAME,
3_24,114,CD,SHOP_ADDRESS,
3_24,",",",",SHOP_ADDRESS,
3_24,Navalar,NNP,SHOP_ADDRESS,
3_24,Road,NNP,SHOP_ADDRESS,
3_24,",",",",SHOP_ADDRESS,
3_24,Jaffna,NNP,SHOP_ADDRESS,
3_24,TEL,NNP,TELEPHONE_NUMBER,
3_24,:021,VBD,TELEPHONE_NUMBER,
3_24,222,CD,TELEPHONE_NUMBER,
3_24,4343,CD,TELEPHONE_NUMBER,
3_24,"March,21,2019,14:35",NNP,TIME,
3_24,Ref,NNP,INVOICE_NUMBER,
3_24,278020,CD,INVOICE_NUMBER,
3_24,User,NNP,USER,
3_24,sivaa,VBD,USER,
3_24,gillette/bic:blade:1pcs,JJ,PRODUCT_NAME,
3_24,SV00292,NNP,BATCH_CODE,
3_24,:,:,EXTRA,
3_24,1,CD,QTY,
3_24,x15.00,NN,UNIT_PRICE,
3_24,=,VBD,EXTRA,
3_24,15,CD,AMOUNT,
3_24,Toffee:1pcs,JJ,PRODUCT_NAME,
3_24,CS00504,NNP,BATCH_CODE,
3_24,:,:,EXTRA,
3_24,2,CD,QTY,
3_24,x5.00,NN,UNIT_PRICE,
3_24,=,VBD,EXTRA,
3_24,10,CD,AMOUNT,
3_24,No,NNP,TOTAL_ITEMS,
3_24,of,IN,TOTAL_ITEMS,
3_24,item,NN,TOTAL_ITEMS,
3_24,:,:,TOTAL_ITEMS,
3_24,2,CD,TOTAL_ITEMS,
3_24,Total,NN,TOTAL,
3_24,:,:,TOTAL,
3_24,RS,JJ,TOTAL,
3_24,25,CD,TOTAL,
3_24,Paid,VBN,CASH,
3_24,by,IN,CASH,
3_24,cash,NN,CASH,
3_24,:,:,CASH,
3_24,RS,JJ,CASH,
3_24,50,CD,CASH,
3_24,Change,NN,BALANCE,
3_24,:,:,BALANCE,
3_24,RS,JJ,BALANCE,
3_24,25,CD,BALANCE,
3_24,Thank,NNP,EXTRA,
3_24,You,PRP,EXTRA,
3_24,For,IN,EXTRA,
3_24,Shopping,VBG,EXTRA,
3_24,Notice,NNP,EXTRA,
3_24,Any,NNP,EXTRA,
3_24,Discrepancy,NNP,EXTRA,
3_24,",",",",EXTRA,
3_24,return,VBP,EXTRA,
3_24,the,DT,EXTRA,
3_24,item,NN,EXTRA,
3_24,(,(,EXTRA,
3_24,exchangeable*,NN,EXTRA,
3_24,),),EXTRA,
3_24,&,CC,EXTRA,
3_24,bill,NN,EXTRA,
3_24,within,IN,EXTRA,
3_24,7,CD,EXTRA,
3_24,days,NNS,EXTRA,
3_24,Designed,VBN,EXTRA,
3_24,by,IN,EXTRA,
3_24,NVM,NNP,EXTRA,
3_24,SOLUTIONS,NNP,EXTRA,
3_24,776843023,CD,EXTRA,
3_24,",",",",EXTRA,
3_24,113159693,CD,EXTRA,
3_8,Mega,JJ,SHOP_NAME,
3_8,Mall,NNP,SHOP_NAME,
3_8,Super,NNP,SHOP_NAME,
3_8,Market,NNP,SHOP_NAME,
3_8,114,CD,SHOP_ADDRESS,
3_8,",",",",SHOP_ADDRESS,
3_8,Navalar,NNP,SHOP_ADDRESS,
3_8,Road,NNP,SHOP_ADDRESS,
3_8,",",",",SHOP_ADDRESS,
3_8,Jaffna,NNP,SHOP_ADDRESS,
3_8,TEL,NNP,TELEPHONE_NUMBER,
3_8,:021,VBD,TELEPHONE_NUMBER,
3_8,222,CD,TELEPHONE_NUMBER,
3_8,4343,CD,TELEPHONE_NUMBER,
3_8,"March,20,2019,18:05",NNP,TIME,
3_8,Ref,NNP,INVOICE_NUMBER,
3_8,277798,CD,INVOICE_NUMBER,
3_8,User,NNP,USER,
3_8,sivaa,JJ,USER,
3_8,Mobitel,NNP,PRODUCT_NAME,
3_8,card,NN,PRODUCT_NAME,
3_8,:,:,PRODUCT_NAME,
3_8,199/=,CD,PRODUCT_NAME,
3_8,RD00209,NN,BATCH_CODE,
3_8,:,:,EXTRA,
3_8,1,CD,QTY,
3_8,x199.00,NN,UNIT_PRICE,
3_8,=,VBD,EXTRA,
3_8,199,CD,AMOUNT,
3_8,No,NNP,TOTAL_ITEMS,
3_8,of,IN,TOTAL_ITEMS,
3_8,item,NN,TOTAL_ITEMS,
3_8,:,:,TOTAL_ITEMS,
3_8,1,CD,TOTAL_ITEMS,
3_8,Total,NN,TOTAL,
3_8,:,:,TOTAL,
3_8,RS,JJ,TOTAL,
3_8,199,CD,TOTAL,
3_8,Paid,VBN,CASH,
3_8,by,IN,CASH,
3_8,cash,NN,CASH,
3_8,:,:,CASH,
3_8,RS,JJ,CASH,
3_8,210,CD,CASH,
3_8,Change,NN,BALANCE,
3_8,:,:,BALANCE,
3_8,RS,JJ,BALANCE,
3_8,11,CD,BALANCE,
3_8,Thank,NNP,EXTRA,
3_8,You,PRP,EXTRA,
3_8,For,IN,EXTRA,
3_8,Shopping,VBG,EXTRA,
3_8,Notice,NNP,EXTRA,
3_8,Any,NNP,EXTRA,
3_8,Discrepancy,NNP,EXTRA,
3_8,",",",",EXTRA,
3_8,return,VBP,EXTRA,
3_8,the,DT,EXTRA,
3_8,item,NN,EXTRA,
3_8,(,(,EXTRA,
3_8,exchangeable*,NN,EXTRA,
3_8,),),EXTRA,
3_8,&,CC,EXTRA,
3_8,bill,NN,EXTRA,
3_8,within,IN,EXTRA,
3_8,7,CD,EXTRA,
3_8,days,NNS,EXTRA,
3_8,Designed,VBN,EXTRA,
3_8,by,IN,EXTRA,
3_8,NVM,NNP,EXTRA,
3_8,SOLUTIONS,NNP,EXTRA,
3_8,776843023,CD,EXTRA,
3_8,",",",",EXTRA,
3_8,113159693,CD,EXTRA,
3_11,Mega,JJ,SHOP_NAME,
3_11,Mall,NNP,SHOP_NAME,
3_11,Super,NNP,SHOP_NAME,
3_11,Market,NNP,SHOP_NAME,
3_11,114,CD,SHOP_ADDRESS,
3_11,",",",",SHOP_ADDRESS,
3_11,Navalar,NNP,SHOP_ADDRESS,
3_11,Road,NNP,SHOP_ADDRESS,
3_11,",",",",SHOP_ADDRESS,
3_11,Jaffna,NNP,SHOP_ADDRESS,
3_11,TEL,NNP,TELEPHONE_NUMBER,
3_11,:021,VBD,TELEPHONE_NUMBER,
3_11,222,CD,TELEPHONE_NUMBER,
3_11,4343,CD,TELEPHONE_NUMBER,
3_11,"March,20,2019,17:56",NNP,TIME,
3_11,Ref,NNP,INVOICE_NUMBER,
3_11,277786,CD,INVOICE_NUMBER,
3_11,User,NNP,USER,
3_11,sivaa,VBD,USER,
3_11,Himalaya:,NNP,PRODUCT_NAME,
3_11,purifying,VBG,PRODUCT_NAME,
3_11,neem,JJ,PRODUCT_NAME,
3_11,:,:,PRODUCT_NAME,
3_11,50ml,CD,PRODUCT_NAME,
3_11,PC00362,NN,BATCH_CODE,
3_11,:,:,EXTRA,
3_11,1,CD,QTY,
3_11,x,$,EXTRA,
3_11,285,CD,UNIT_PRICE,
3_11,=,JJ,EXTRA,
3_11,285,CD,AMOUNT,
3_11,V.S.S,NNP,PRODUCT_NAME,
3_11,gingelly,RB,PRODUCT_NAME,
3_11,oil,NN,PRODUCT_NAME,
3_11,:,:,PRODUCT_NAME,
3_11,200ml,CD,PRODUCT_NAME,
3_11,OI00533,NN,BATCH_CODE,
3_11,:,:,EXTRA,
3_11,1,CD,QTY,
3_11,x200.00,NN,UNIT_PRICE,
3_11,=,VBD,EXTRA,
3_11,200,CD,AMOUNT,
3_11,No,NNP,TOTAL_ITEMS,
3_11,of,IN,TOTAL_ITEMS,
3_11,item,NN,TOTAL_ITEMS,
3_11,:,:,TOTAL_ITEMS,
3_11,2,CD,TOTAL_ITEMS,
3_11,Total,NN,TOTAL,
3_11,:,:,TOTAL,
3_11,RS,JJ,TOTAL,
3_11,485,CD,TOTAL,
3_11,Paid,VBN,CASH,
3_11,by,IN,CASH,
3_11,cash,NN,CASH,
3_11,:,:,CASH,
3_11,RS,JJ,CASH,
3_11,500,CD,CASH,
3_11,Change,NN,BALANCE,
3_11,:,:,BALANCE,
3_11,RS,JJ,BALANCE,
3_11,15,CD,BALANCE,
3_11,Thank,NNP,EXTRA,
3_11,You,PRP,EXTRA,
3_11,For,IN,EXTRA,
3_11,Shopping,VBG,EXTRA,
3_11,Notice,NNP,EXTRA,
3_11,Any,NNP,EXTRA,
3_11,Discrepancy,NNP,EXTRA,
3_11,",",",",EXTRA,
3_11,return,VBP,EXTRA,
3_11,the,DT,EXTRA,
3_11,item,NN,EXTRA,
3_11,(,(,EXTRA,
3_11,exchangeable*,NN,EXTRA,
3_11,),),EXTRA,
3_11,&,CC,EXTRA,
3_11,bill,NN,EXTRA,
3_11,within,IN,EXTRA,
3_11,7,CD,EXTRA,
3_11,days,NNS,EXTRA,
3_11,Designed,VBN,EXTRA,
3_11,by,IN,EXTRA,
3_11,NVM,NNP,EXTRA,
3_11,SOLUTIONS,NNP,EXTRA,
3_11,776843023,CD,EXTRA,
3_11,",",",",EXTRA,
3_11,113159693,CD,EXTRA,
3_23,Mega,JJ,SHOP_NAME,
3_23,Mall,NNP,SHOP_NAME,
3_23,Super,NNP,SHOP_NAME,
3_23,Market,NNP,SHOP_NAME,
3_23,114,CD,SHOP_ADDRESS,
3_23,",",",",SHOP_ADDRESS,
3_23,Navalar,NNP,SHOP_ADDRESS,
3_23,Road,NNP,SHOP_ADDRESS,
3_23,",",",",SHOP_ADDRESS,
3_23,Jaffna,NNP,SHOP_ADDRESS,
3_23,TEL,NNP,TELEPHONE_NUMBER,
3_23,:021,VBD,TELEPHONE_NUMBER,
3_23,222,CD,TELEPHONE_NUMBER,
3_23,4343,CD,TELEPHONE_NUMBER,
3_23,"March,21,2019,14:23",NNP,TIME,
3_23,Ref,NNP,INVOICE_NUMBER,
3_23,278016,CD,INVOICE_NUMBER,
3_23,User,NNP,USER,
3_23,sivaa,NN,USER,
3_23,Kist,NNP,PRODUCT_NAME,
3_23,:,:,PRODUCT_NAME,
3_23,mangonectar,NN,PRODUCT_NAME,
3_23,:,:,PRODUCT_NAME,
3_23,200ml,CD,PRODUCT_NAME,
3_23,BV00226,NNP,BATCH_CODE,
3_23,:,:,EXTRA,
3_23,1,CD,QTY,
3_23,x60.00,NN,UNIT_PRICE,
3_23,=,VBD,EXTRA,
3_23,60,CD,AMOUNT,
3_23,No,NNP,TOTAL_ITEMS,
3_23,of,IN,TOTAL_ITEMS,
3_23,item,NN,TOTAL_ITEMS,
3_23,:,:,TOTAL_ITEMS,
3_23,1,CD,TOTAL_ITEMS,
3_23,Total,NN,TOTAL,
3_23,:,:,TOTAL,
3_23,RS,JJ,TOTAL,
3_23,60,CD,TOTAL,
3_23,Paid,VBN,CASH,
3_23,by,IN,CASH,
3_23,cash,NN,CASH,
3_23,:,:,CASH,
3_23,RS,JJ,CASH,
3_23,100,CD,CASH,
3_23,Change,NN,BALANCE,
3_23,:,:,BALANCE,
3_23,RS,JJ,BALANCE,
3_23,40,CD,BALANCE,
3_23,Thank,NNP,EXTRA,
3_23,You,PRP,EXTRA,
3_23,For,IN,EXTRA,
3_23,Shopping,VBG,EXTRA,
3_23,Notice,NNP,EXTRA,
3_23,Any,NNP,EXTRA,
3_23,Discrepancy,NNP,EXTRA,
3_23,",",",",EXTRA,
3_23,return,VBP,EXTRA,
3_23,the,DT,EXTRA,
3_23,item,NN,EXTRA,
3_23,(,(,EXTRA,
3_23,exchangeable*,NN,EXTRA,
3_23,),),EXTRA,
3_23,&,CC,EXTRA,
3_23,bill,NN,EXTRA,
3_23,within,IN,EXTRA,
3_23,7,CD,EXTRA,
3_23,days,NNS,EXTRA,
3_23,Designed,VBN,EXTRA,
3_23,by,IN,EXTRA,
3_23,NVM,NNP,EXTRA,
3_23,SOLUTIONS,NNP,EXTRA,
3_23,776843023,CD,EXTRA,
3_23,",",",",EXTRA,
3_23,113159693,CD,EXTRA,
3_20,Mega,JJ,SHOP_NAME,
3_20,Mall,NNP,SHOP_NAME,
3_20,Super,NNP,SHOP_NAME,
3_20,Market,NNP,SHOP_NAME,
3_20,114,CD,SHOP_ADDRESS,
3_20,",",",",SHOP_ADDRESS,
3_20,Navalar,NNP,SHOP_ADDRESS,
3_20,Road,NNP,SHOP_ADDRESS,
3_20,",",",",SHOP_ADDRESS,
3_20,Jaffna,NNP,SHOP_ADDRESS,
3_20,TEL,NNP,TELEPHONE_NUMBER,
3_20,:021,VBD,TELEPHONE_NUMBER,
3_20,222,CD,TELEPHONE_NUMBER,
3_20,4343,CD,TELEPHONE_NUMBER,
3_20,"March,20,2019,13:33",NNP,TIME,
3_20,Ref,NNP,INVOICE_NUMBER,
3_20,277677,CD,INVOICE_NUMBER,
3_20,User,NNP,USER,
3_20,sivaa,NN,USER,
3_20,Wonder,NNP,PRODUCT_NAME,
3_20,cone,NN,PRODUCT_NAME,
3_20,:,:,PRODUCT_NAME,
3_20,chocolate:elephant:120ml,JJ,PRODUCT_NAME,
3_20,IC00101,NNP,BATCH_CODE,
3_20,:,:,EXTRA,
3_20,5,CD,QTY,
3_20,x80.00,NN,UNIT_PRICE,
3_20,=,VBD,EXTRA,
3_20,400,CD,AMOUNT,
3_20,No,NNP,TOTAL_ITEMS,
3_20,of,IN,TOTAL_ITEMS,
3_20,item,NN,TOTAL_ITEMS,
3_20,:,:,TOTAL_ITEMS,
3_20,1,CD,TOTAL_ITEMS,
3_20,Total,NN,TOTAL,
3_20,:,:,TOTAL,
3_20,RS,JJ,TOTAL,
3_20,400,CD,TOTAL,
3_20,Paid,VBN,CASH,
3_20,by,IN,CASH,
3_20,cash,NN,CASH,
3_20,:,:,CASH,
3_20,RS,JJ,CASH,
3_20,1000,CD,CASH,
3_20,Change,NN,BALANCE,
3_20,:,:,BALANCE,
3_20,RS,JJ,BALANCE,
3_20,600,CD,BALANCE,
3_20,Thank,NNP,EXTRA,
3_20,You,PRP,EXTRA,
3_20,For,IN,EXTRA,
3_20,Shopping,VBG,EXTRA,
3_20,Notice,NNP,EXTRA,
3_20,Any,NNP,EXTRA,
3_20,Discrepancy,NNP,EXTRA,
3_20,",",",",EXTRA,
3_20,return,VBP,EXTRA,
3_20,the,DT,EXTRA,
3_20,item,NN,EXTRA,
3_20,(,(,EXTRA,
3_20,exchangeable*,NN,EXTRA,
3_20,),),EXTRA,
3_20,&,CC,EXTRA,
3_20,bill,NN,EXTRA,
3_20,within,IN,EXTRA,
3_20,7,CD,EXTRA,
3_20,days,NNS,EXTRA,
3_20,Designed,VBN,EXTRA,
3_20,by,IN,EXTRA,
3_20,NVM,NNP,EXTRA,
3_20,SOLUTIONS,NNP,EXTRA,
3_20,776843023,CD,EXTRA,
3_20,",",",",EXTRA,
3_20,113159693,CD,EXTRA,
3_22,Mega,JJ,SHOP_NAME,
3_22,Mall,NNP,SHOP_NAME,
3_22,Super,NNP,SHOP_NAME,
3_22,Market,NNP,SHOP_NAME,
3_22,114,CD,SHOP_ADDRESS,
3_22,",",",",SHOP_ADDRESS,
3_22,Navalar,NNP,SHOP_ADDRESS,
3_22,Road,NNP,SHOP_ADDRESS,
3_22,",",",",SHOP_ADDRESS,
3_22,Jaffna,NNP,SHOP_ADDRESS,
3_22,TEL,NNP,TELEPHONE_NUMBER,
3_22,:021,VBD,TELEPHONE_NUMBER,
3_22,222,CD,TELEPHONE_NUMBER,
3_22,4343,CD,TELEPHONE_NUMBER,
3_22,"March,19,2019,20:40",NNP,TIME,
3_22,Ref,NNP,INVOICE_NUMBER,
3_22,277557,CD,INVOICE_NUMBER,
3_22,User,NNP,USER,
3_22,sivaa,NN,USER,
3_22,Dangle,NNP,PRODUCT_NAME,
3_22,cigarette,NN,PRODUCT_NAME,
3_22,:,:,PRODUCT_NAME,
3_22,1pcs,CD,PRODUCT_NAME,
3_22,GY00081,NNP,BATCH_CODE,
3_22,:,:,EXTRA,
3_22,1,CD,QTY,
3_22,x75.00,NN,UNIT_PRICE,
3_22,=,VBD,EXTRA,
3_22,75,CD,AMOUNT,
3_22,No,NNP,TOTAL_ITEMS,
3_22,of,IN,TOTAL_ITEMS,
3_22,item,NN,TOTAL_ITEMS,
