receipt_index,receipt_number,word,POS,tag
2,1_99,",",",",SHOP_ADDRESS
2,1_99,NALLUR,NNP,SHOP_ADDRESS
2,1_99,",",",",SHOP_ADDRESS
2,1_99,JAFFNA,NNP,SHOP_ADDRESS
2,1_99,021-4927082,NNP,TELEPHONE_NUMBER
2,1_99,INVOICE,NNP,EXTRA
2,1_99,CASHIER,NNP,CASHIER
2,1_99,:,:,CASHIER
2,1_99,KIRU,NNP,CASHIER
2,1_99,INV.NO,NNP,INVOICE_NUMBER
2,1_99,1084002,CD,INVOICE_NUMBER
2,1_99,DATE,NNP,DATE
2,1_99,:,:,DATE
2,1_99,19/03/2019,CD,DATE
2,1_99,TIME,NN,TIME
2,1_99,:,:,TIME
2,1_99,12:35:41,CD,TIME
2,1_99,PRODUCT,NNP,PRODUCT_NAME
2,1_99,PRICE,NNP,UNIT_PRICE
2,1_99,QTY,NNP,QTY
2,1_99,AMOUNT,NNP,AMOUNT
2,1_99,Captain,NNP,PRODUCT_NAME
2,1_99,Tin,NNP,PRODUCT_NAME
2,1_99,fish,VBD,PRODUCT_NAME
2,1_99,425g,CD,PRODUCT_NAME
2,1_99,162,CD,BATCH_CODE
2,1_99,295,CD,UNIT_PRICE
2,1_99,1,CD,QTY
2,1_99,295,CD,AMOUNT
2,1_99,TOTAL,NNPS,TOTAL_ITEM
2,1_99,ITEMS,NNP,TOTAL_ITEM
2,1_99,1,CD,TOTAL_ITEM
2,1_99,TOTAL,NNP,TOTAL_QTY
2,1_99,QTY,NNP,TOTAL_QTY
2,1_99,1,CD,TOTAL_QTY
2,1_99,NET,NNP,TOTAL
2,1_99,TOTAL,NNP,TOTAL
2,1_99,295,CD,TOTAL
2,1_99,CASH,NNP,CASH
2,1_99,300,CD,CASH
2,1_99,Change,NNP,BALANCE
2,1_99,5,CD,BALANCE
2,1_99,IN,NNP,EXTRA
2,1_99,CASE,NNP,EXTRA
2,1_99,OF,NNP,EXTRA
2,1_99,PRICE,NNP,EXTRA
2,1_99,DISCREPANCY,NNP,EXTRA
2,1_99,RETURN,NNP,EXTRA
2,1_99,THE,NNP,EXTRA
2,1_99,ITEM,NNP,EXTRA
2,1_99,&,CC,EXTRA
2,1_99,BILL,NNP,EXTRA
2,1_99,WITHIN,NNP,EXTRA
2,1_99,7,CD,EXTRA
2,1_99,DAYS,NNP,EXTRA
2,1_99,TO,NNP,EXTRA
2,1_99,REFUND,NNP,EXTRA
2,1_99,THE,NNP,EXTRA
2,1_99,DIFFERENCE,NNP,EXTRA
2,1_99,0,0,EXTRA
2,1_99,$,$,EXTRA
2,1_99,THANKS,NNP,EXTRA
2,1_99,FOR,NNP,EXTRA
2,1_99,MAKING,NNP,EXTRA
2,1_99,YOUR,NNP,EXTRA
2,1_99,PURCHASE,NNP,EXTRA
2,1_99,$,$,EXTRA
2,1_99,Software,NNP,EXTRA
2,1_99,by,IN,EXTRA
2,1_99,myPOS,JJ,EXTRA
2,1_99,0114-500199,JJ,EXTRA
2,1_99,www.mypos.lk,NN,EXTRA
3,1_18,ANNAI,NNP,SHOP_NAME
3,1_18,NAGA,NNP,SHOP_NAME
3,1_18,FOOD,NNP,SHOP_NAME
3,1_18,CITY,NNP,SHOP_NAME
3,1_18,341,CD,SHOP_ADDRESS
3,1_18,",",",",SHOP_ADDRESS
3,1_18,POINT,NNP,SHOP_ADDRESS
3,1_18,PEDRO,NNP,SHOP_ADDRESS
3,1_18,ROAD,NNP,SHOP_ADDRESS
3,1_18,",",",",SHOP_ADDRESS
3,1_18,NALLUR,NNP,SHOP_ADDRESS
3,1_18,",",",",SHOP_ADDRESS
3,1_18,JAFFNA,NNP,SHOP_ADDRESS
3,1_18,021-4927082,NNP,TELEPHONE_NUMBER
3,1_18,INVOICE,NNP,EXTRA
3,1_18,CASHIER,NNP,CASHIER
3,1_18,:,:,CASHIER
3,1_18,KIRU,NNP,CASHIER
3,1_18,INV.NO,NNP,INVOICE_NUMBER
3,1_18,1084903,CD,INVOICE_NUMBER
3,1_18,DATE,NNP,DATE
3,1_18,:,:,DATE
3,1_18,22/03/2019,CD,DATE
3,1_18,TIME,NN,TIME
3,1_18,:,:,TIME
3,1_18,14:19:06,CD,TIME
3,1_18,PRODUCT,NNP,PRODUCT_NAME
3,1_18,PRICE,NNP,UNIT_PRICE
3,1_18,QTY,NNP,QTY
3,1_18,AMOUNT,NNP,AMOUNT
3,1_18,E.H,NNP,PRODUCT_NAME
3,1_18,FLAVOURS,NNP,PRODUCT_NAME
3,1_18,2,CD,PRODUCT_NAME
3,1_18,BAR,NNP,PRODUCT_NAME
3,1_18,FALUDA,NNP,PRODUCT_NAME
3,1_18,&,CC,PRODUCT_NAME
3,1_18,VANILA,NNP,PRODUCT_NAME
3,1_18,77,CD,BATCH_CODE
3,1_18,30,CD,UNIT_PRICE
3,1_18,1,CD,QTY
3,1_18,30,CD,AMOUNT
3,1_18,E.H,NNP,PRODUCT_NAME
3,1_18,CREAM,NNP,PRODUCT_NAME
3,1_18,SODA,NNP,PRODUCT_NAME
3,1_18,192690,CD,BATCH_CODE
3,1_18,25,CD,UNIT_PRICE
3,1_18,2,CD,QTY
3,1_18,50,CD,AMOUNT
3,1_18,TOTAL,NNPS,TOTAL_ITEM
3,1_18,ITEMS,NNP,TOTAL_ITEM
3,1_18,2,CD,TOTAL_ITEM
3,1_18,TOTAL,NNP,TOTAL_QTY
3,1_18,QTY,NNP,TOTAL_QTY
3,1_18,3,CD,TOTAL_QTY
3,1_18,NET,NNP,TOTAL
3,1_18,TOTAL,NNP,TOTAL
3,1_18,80,CD,TOTAL
3,1_18,CASH,NNP,CASH
3,1_18,100,CD,CASH
3,1_18,CHANGE,NNP,BALANCE
3,1_18,20,CD,BALANCE
3,1_18,IN,NNP,EXTRA
3,1_18,CASE,NNP,EXTRA
3,1_18,OF,NNP,EXTRA
3,1_18,PRICE,NNP,EXTRA
3,1_18,DISCREPANCY,NNP,EXTRA
3,1_18,RETURN,NNP,EXTRA
3,1_18,THE,NNP,EXTRA
3,1_18,ITEM,NNP,EXTRA
3,1_18,&,CC,EXTRA
3,1_18,BILL,NNP,EXTRA
3,1_18,WITHIN,NNP,EXTRA
3,1_18,7,CD,EXTRA
3,1_18,DAYS,NNP,EXTRA
3,1_18,TO,NNP,EXTRA
3,1_18,REFUND,NNP,EXTRA
3,1_18,THE,NNP,EXTRA
3,1_18,DIFFERENCE,NNP,EXTRA
3,1_18,0,0,EXTRA
3,1_18,$,$,EXTRA
3,1_18,THANKS,NNP,EXTRA
3,1_18,FOR,NNP,EXTRA
3,1_18,MAKING,NNP,EXTRA
3,1_18,YOUR,NNP,EXTRA
3,1_18,PURCHASE,NNP,EXTRA
3,1_18,$,$,EXTRA
3,1_18,Software,NNP,EXTRA
3,1_18,by,IN,EXTRA
3,1_18,mypos,JJ,EXTRA
3,1_18,0114-500199,JJ,EXTRA
3,1_18,www.mypos.lk,NN,EXTRA
4,1_8,ANNAI,NNP,SHOP_NAME
4,1_8,NAGA,NNP,SHOP_NAME
4,1_8,FOOD,NNP,SHOP_NAME
4,1_8,CITY,NNP,SHOP_NAME
4,1_8,341,CD,SHOP_ADDRESS
4,1_8,",",",",SHOP_ADDRESS
4,1_8,POINT,NNP,SHOP_ADDRESS
4,1_8,PEDRO,NNP,SHOP_ADDRESS
4,1_8,ROAD,NNP,SHOP_ADDRESS
4,1_8,",",",",SHOP_ADDRESS
4,1_8,NALLUR,NNP,SHOP_ADDRESS
4,1_8,",",",",SHOP_ADDRESS
4,1_8,JAFFNA,NNP,SHOP_ADDRESS
4,1_8,021-4927082,NNP,TELEPHONE_NUMBER
4,1_8,INVOICE,NNP,EXTRA
4,1_8,CASHIER,NNP,CASHIER
4,1_8,:,:,CASHIER
4,1_8,KIRU,NNP,CASHIER
4,1_8,INV.NO,NNP,INVOICE_NUMBER
4,1_8,1084848,CD,INVOICE_NUMBER
4,1_8,DATE,NNP,DATE
4,1_8,:,:,DATE
4,1_8,22/03/2019,CD,DATE
4,1_8,TIME,NN,TIME
4,1_8,:,:,TIME
4,1_8,18:53:34,CD,TIME
4,1_8,PRODUCT,NNP,PRODUCT_NAME
4,1_8,PRICE,NNP,UNIT_PRICE
4,1_8,QTY,NNP,QTY
4,1_8,AMOUNT,NNP,AMOUNT
4,1_8,NESTLE,NNP,PRODUCT_NAME
4,1_8,MILO,NNP,PRODUCT_NAME
4,1_8,RTD,NNP,PRODUCT_NAME
4,1_8,180,CD,PRODUCT_NAME
4,1_8,ML,NNP,PRODUCT_NAME
4,1_8,7,CD,BATCH_CODE
4,1_8,50,CD,UNIT_PRICE
4,1_8,2,CD,QTY
4,1_8,100,CD,AMOUNT
4,1_8,TOTAL,NNPS,TOTAL_ITEM
4,1_8,ITEMS,NNP,TOTAL_ITEM
4,1_8,1,CD,TOTAL_ITEM
4,1_8,TOTAL,NNP,TOTAL_QTY
4,1_8,QTY,NNP,TOTAL_QTY
4,1_8,2,CD,TOTAL_QTY
4,1_8,NET,NNP,TOTAL
4,1_8,TOTAL,NNP,TOTAL
4,1_8,100,CD,TOTAL
4,1_8,CASH,NNP,CASH
4,1_8,100,CD,CASH
4,1_8,IN,NNP,EXTRA
4,1_8,CASE,NNP,EXTRA
4,1_8,OF,NNP,EXTRA
4,1_8,PRICE,NNP,EXTRA
4,1_8,DISCREPANCY,NNP,EXTRA
4,1_8,RETURN,NNP,EXTRA
4,1_8,THE,NNP,EXTRA
4,1_8,ITEM,NNP,EXTRA
4,1_8,&,CC,EXTRA
4,1_8,BILL,NNP,EXTRA
4,1_8,WITHIN,NNP,EXTRA
4,1_8,7,CD,EXTRA
4,1_8,DAYS,NNP,EXTRA
4,1_8,TO,NNP,EXTRA
4,1_8,REFUND,NNP,EXTRA
4,1_8,THE,NNP,EXTRA
4,1_8,DIFFERENCE,NNP,EXTRA
4,1_8,0,0,EXTRA
4,1_8,$,$,EXTRA
4,1_8,THANKS,NNP,EXTRA
4,1_8,FOR,NNP,EXTRA
4,1_8,MAKING,NNP,EXTRA
4,1_8,YOUR,NNP,EXTRA
4,1_8,PURCHASE,NNP,EXTRA
4,1_8,$,$,EXTRA
4,1_8,Software,NNP,EXTRA
4,1_8,by,IN,EXTRA
4,1_8,mypos,JJ,EXTRA
4,1_8,0114-500199,JJ,EXTRA
4,1_8,www.mypos.lk,NN,EXTRA
5,1_41,ANNAI,NNP,SHOP_NAME
5,1_41,NAGA,NNP,SHOP_NAME
5,1_41,FOOD,NNP,SHOP_NAME
5,1_41,CITY,NNP,SHOP_NAME
5,1_41,341,CD,SHOP_ADDRESS
5,1_41,",",",",SHOP_ADDRESS
5,1_41,POINT,NNP,SHOP_ADDRESS
5,1_41,PEDRO,NNP,SHOP_ADDRESS
5,1_41,ROAD,NNP,SHOP_ADDRESS
5,1_41,",",",",SHOP_ADDRESS
5,1_41,NALLUR,NNP,SHOP_ADDRESS
5,1_41,",",",",SHOP_ADDRESS
5,1_41,JAFFNA,NNP,SHOP_ADDRESS
5,1_41,021-4927082,NNP,TELEPHONE_NUMBER
5,1_41,INVOICE,NNP,EXTRA
5,1_41,CASHIER,NNP,CASHIER
5,1_41,:,:,CASHIER
5,1_41,KIRU,NNP,CASHIER
5,1_41,INV.NO,NNP,INVOICE_NUMBER
5,1_41,1086040,CD,INVOICE_NUMBER
5,1_41,DATE,NNP,DATE
5,1_41,:,:,DATE
5,1_41,26/03/2019,CD,DATE
5,1_41,TIME,NN,TIME
5,1_41,:,:,TIME
5,1_41,20:07:45,CD,TIME
5,1_41,PRODUCT,NNP,PRODUCT_NAME
5,1_41,PRICE,NNP,UNIT_PRICE
5,1_41,QTY,NNP,QTY
5,1_41,AMOUNT,NNP,AMOUNT
5,1_41,KOTMALE,NNP,PRODUCT_NAME
5,1_41,CHOCOLATE,NNP,PRODUCT_NAME
5,1_41,MILK,NNP,PRODUCT_NAME
5,1_41,-,:,EXTRA
5,1_41,180ml,CD,PRODUCT_NAME
5,1_41,46,CD,BATCH_CODE
5,1_41,45,CD,UNIT_PRICE
5,1_41,1,CD,QTY
5,1_41,45,CD,AMOUNT
5,1_41,TOTAL,NNPS,TOTAL_ITEM
5,1_41,ITEMS,NNP,TOTAL_ITEM
5,1_41,1,CD,TOTAL_ITEM
5,1_41,TOTAL,NNP,TOTAL_QTY
5,1_41,QTY,NNP,TOTAL_QTY
5,1_41,1,CD,TOTAL_QTY
5,1_41,NET,NNP,TOTAL
5,1_41,TOTAL,NNP,TOTAL
5,1_41,45,CD,TOTAL
5,1_41,CASH,NNP,CASH
5,1_41,50,CD,CASH
5,1_41,CHANGE,NNP,BALANCE
5,1_41,5,CD,BALANCE
5,1_41,IN,NNP,EXTRA
5,1_41,CASE,NNP,EXTRA
5,1_41,OF,NNP,EXTRA
5,1_41,PRICE,NNP,EXTRA
5,1_41,DISCREPANCY,NNP,EXTRA
5,1_41,RETURN,NNP,EXTRA
5,1_41,THE,NNP,EXTRA
5,1_41,ITEM,NNP,EXTRA
5,1_41,&,CC,EXTRA
5,1_41,BILL,NNP,EXTRA
5,1_41,WITHIN,NNP,EXTRA
5,1_41,7,CD,EXTRA
5,1_41,DAYS,NNP,EXTRA
5,1_41,TO,NNP,EXTRA
5,1_41,REFUND,NNP,EXTRA
5,1_41,THE,NNP,EXTRA
5,1_41,DIFFERENCE,NNP,EXTRA
5,1_41,0,0,EXTRA
5,1_41,$,$,EXTRA
5,1_41,THANKS,NNP,EXTRA
5,1_41,FOR,NNP,EXTRA
5,1_41,MAKING,NNP,EXTRA
5,1_41,YOUR,NNP,EXTRA
5,1_41,PURCHASE,NNP,EXTRA
5,1_41,$,$,EXTRA
5,1_41,Software,NNP,EXTRA
5,1_41,by,IN,EXTRA
5,1_41,myPOS,JJ,EXTRA
5,1_41,0114-500199,JJ,EXTRA
5,1_41,www.mypos.lk,NN,EXTRA
6,1_99,ANNAI,NNP,SHOP_NAME
7,1_83,NAGA,NNP,SHOP_NAME
7,1_83,FOOD,NNP,SHOP_NAME
7,1_83,CITY,NNP,SHOP_NAME
7,1_83,341,CD,SHOP_ADDRESS
7,1_83,",",",",SHOP_ADDRESS
7,1_83,POINT,NNP,SHOP_ADDRESS
7,1_83,PEDRO,NNP,SHOP_ADDRESS
7,1_83,ROAD,NNP,SHOP_ADDRESS
7,1_83,",",",",SHOP_ADDRESS
7,1_83,NALLUR,NNP,SHOP_ADDRESS
7,1_83,",",",",SHOP_ADDRESS
7,1_83,JAFFNA,NNP,SHOP_ADDRESS
7,1_83,021-4927082,NNP,TELEPHONE_NUMBER
7,1_83,INVOICE,NNP,EXTRA
7,1_83,CASHIER,NNP,CASHIER
7,1_83,:,:,CASHIER
7,1_83,KIRU,NNP,CASHIER
7,1_83,INV.NO,NNP,INVOICE_NUMBER
7,1_83,1084036,CD,INVOICE_NUMBER
7,1_83,DATE,NNP,DATE
7,1_83,:,:,DATE
7,1_83,19/03/2019,CD,DATE
7,1_83,TIME,NN,TIME
7,1_83,:,:,TIME
7,1_83,14:46:15,CD,TIME
7,1_83,PRODUCT,NNP,PRODUCT_NAME
7,1_83,PRICE,NNP,UNIT_PRICE
7,1_83,QTY,NNP,QTY
7,1_83,AMOUNT,NNP,AMOUNT
7,1_83,Sprite,NNP,PRODUCT_NAME
7,1_83,party,NN,PRODUCT_NAME
7,1_83,2.25L,CD,PRODUCT_NAME
7,1_83,1919,CD,BATCH_CODE
7,1_83,250,CD,UNIT_PRICE
7,1_83,1,CD,QTY
7,1_83,250,CD,AMOUNT
7,1_83,TOTAL,NNPS,TOTAL_ITEM
7,1_83,ITEMS,NNP,TOTAL_ITEM
7,1_83,1,CD,TOTAL_ITEM
7,1_83,TOTAL,NNP,TOTAL_QTY
7,1_83,QTY,NNP,TOTAL_QTY
7,1_83,1,CD,TOTAL_QTY
7,1_83,NET,NNP,TOTAL
7,1_83,TOTAL,NNP,TOTAL
7,1_83,250,CD,TOTAL
7,1_83,CASH,NNP,CASH
7,1_83,500,CD,CASH
7,1_83,Change,NNP,BALANCE
7,1_83,250,CD,BALANCE
7,1_83,IN,NNP,EXTRA
7,1_83,CASE,NNP,EXTRA
7,1_83,OF,NNP,EXTRA
7,1_83,PRICE,NNP,EXTRA
7,1_83,DISCREPANCY,NNP,EXTRA
7,1_83,RETURN,NNP,EXTRA
7,1_83,THE,NNP,EXTRA
7,1_83,ITEM,NNP,EXTRA
7,1_83,&,CC,EXTRA
7,1_83,BILL,NNP,EXTRA
7,1_83,WITHIN,NNP,EXTRA
7,1_83,7,CD,EXTRA
7,1_83,DAYS,NNP,EXTRA
7,1_83,TO,NNP,EXTRA
7,1_83,REFUND,NNP,EXTRA
7,1_83,THE,NNP,EXTRA
7,1_83,DIFFERENCE,NNP,EXTRA
7,1_83,0,0,EXTRA
7,1_83,$,$,EXTRA
7,1_83,THANKS,NNP,EXTRA
7,1_83,FOR,NNP,EXTRA
7,1_83,MAKING,NNP,EXTRA
7,1_83,YOUR,NNP,EXTRA
7,1_83,PURCHASE,NNP,EXTRA
7,1_83,$,$,EXTRA
7,1_83,Software,NNP,EXTRA
7,1_83,by,IN,EXTRA
7,1_83,myPOS,JJ,EXTRA
7,1_83,0114-500199,JJ,EXTRA
7,1_83,www.mypos.lk,NN,EXTRA
8,1_84,ANNAI,NNP,SHOP_NAME
8,1_84,NAGA,NNP,SHOP_NAME
8,1_84,FOOD,NNP,SHOP_NAME
8,1_84,CITY,NNP,SHOP_NAME
8,1_84,341,CD,SHOP_ADDRESS
8,1_84,",",",",SHOP_ADDRESS
8,1_84,POINT,NNP,SHOP_ADDRESS
8,1_84,PEDRO,NNP,SHOP_ADDRESS
8,1_84,ROAD,NNP,SHOP_ADDRESS
8,1_84,",",",",SHOP_ADDRESS
8,1_84,NALLUR,NNP,SHOP_ADDRESS
8,1_84,",",",",SHOP_ADDRESS
8,1_84,JAFFNA,NNP,SHOP_ADDRESS
8,1_84,021-4927082,NNP,TELEPHONE_NUMBER
8,1_84,INVOICE,NNP,EXTRA
8,1_84,CASHIER,NNP,CASHIER
8,1_84,:,:,CASHIER
8,1_84,KIRU,NNP,CASHIER
8,1_84,INV.NO,NNP,INVOICE_NUMBER
8,1_84,1083892,CD,INVOICE_NUMBER
8,1_84,DATE,NNP,DATE
8,1_84,:,:,DATE
8,1_84,18/03/2019,CD,DATE
8,1_84,TIME,NN,TIME
8,1_84,:,:,TIME
8,1_84,20:20:20,CD,TIME
8,1_84,PRODUCT,NNP,PRODUCT_NAME
8,1_84,PRICE,NNP,UNIT_PRICE
8,1_84,QTY,NNP,QTY
8,1_84,AMOUNT,NNP,AMOUNT
8,1_84,Sakthi,NNP,PRODUCT_NAME
8,1_84,pepper,NN,PRODUCT_NAME
8,1_84,powder,NN,PRODUCT_NAME
8,1_84,50g,CD,PRODUCT_NAME
8,1_84,120,CD,BATCH_CODE
8,1_84,105,CD,UNIT_PRICE
8,1_84,1,CD,QTY
8,1_84,105,CD,AMOUNT
8,1_84,TOTAL,NNPS,TOTAL_ITEM
8,1_84,ITEMS,NNP,TOTAL_ITEM
8,1_84,1,CD,TOTAL_ITEM
8,1_84,TOTAL,NNP,TOTAL_QTY
8,1_84,QTY,NNP,TOTAL_QTY
8,1_84,1,CD,TOTAL_QTY
8,1_84,NET,NNP,TOTAL
8,1_84,TOTAL,NNP,TOTAL
8,1_84,105,CD,TOTAL
8,1_84,CASH,NNP,CASH
8,1_84,105,CD,CASH
8,1_84,IN,NNP,EXTRA
8,1_84,CASE,NNP,EXTRA
8,1_84,OF,NNP,EXTRA
8,1_84,PRICE,NNP,EXTRA
8,1_84,DISCREPANCY,NNP,EXTRA
8,1_84,RETURN,NNP,EXTRA
8,1_84,THE,NNP,EXTRA
8,1_84,ITEM,NNP,EXTRA
8,1_84,&,CC,EXTRA
8,1_84,BILL,NNP,EXTRA
8,1_84,WITHIN,NNP,EXTRA
8,1_84,7,CD,EXTRA
8,1_84,DAYS,NNP,EXTRA
8,1_84,TO,NNP,EXTRA
8,1_84,REFUND,NNP,EXTRA
8,1_84,THE,NNP,EXTRA
8,1_84,DIFFERENCE,NNP,EXTRA
8,1_84,0,0,EXTRA
8,1_84,$,$,EXTRA
8,1_84,THANKS,NNP,EXTRA
8,1_84,FOR,NNP,EXTRA
8,1_84,MAKING,NNP,EXTRA
8,1_84,YOUR,NNP,EXTRA
8,1_84,PURCHASE,NNP,EXTRA
8,1_84,$,$,EXTRA
8,1_84,Software,NNP,EXTRA
8,1_84,by,IN,EXTRA
8,1_84,myPOS,JJ,EXTRA
8,1_84,0114-500199,JJ,EXTRA
8,1_84,www.mypos.lk,NN,EXTRA
9,1_20,ANNAI,NNP,SHOP_NAME
9,1_20,NAGA,NNP,SHOP_NAME
9,1_20,FOOD,NNP,SHOP_NAME
9,1_20,CITY,NNP,SHOP_NAME
9,1_20,341,CD,SHOP_ADDRESS
9,1_20,",",",",SHOP_ADDRESS
9,1_20,POINT,NNP,SHOP_ADDRESS
9,1_20,PEDRO,NNP,SHOP_ADDRESS
9,1_20,ROAD,NNP,SHOP_ADDRESS
9,1_20,",",",",SHOP_ADDRESS
9,1_20,NALLUR,NNP,SHOP_ADDRESS
9,1_20,",",",",SHOP_ADDRESS
9,1_20,JAFFNA,NNP,SHOP_ADDRESS
9,1_20,021-4927082,NNP,TELEPHONE_NUMBER
9,1_20,INVOICE,NNP,EXTRA
9,1_20,CASHIER,NNP,CASHIER
9,1_20,:,:,CASHIER
9,1_20,KIRU,NNP,CASHIER
9,1_20,INV.NO,NNP,INVOICE_NUMBER
9,1_20,1084924,CD,INVOICE_NUMBER
9,1_20,DATE,NNP,DATE
9,1_20,:,:,DATE
9,1_20,22/03/2019,CD,DATE
9,1_20,TIME:19:08:06,NNP,TIME
9,1_20,PRODUCT,NNP,PRODUCT_NAME
9,1_20,PRICE,NNP,UNIT_PRICE
9,1_20,QTY,NNP,QTY
9,1_20,AMOUNT,NNP,AMOUNT
9,1_20,BLACKCURRANT,NNP,PRODUCT_NAME
9,1_20,LOLLIPOP,NNP,PRODUCT_NAME
9,1_20,6677,CD,BATCH_CODE
9,1_20,10,CD,UNIT_PRICE
9,1_20,1,CD,QTY
9,1_20,10,CD,AMOUNT
9,1_20,TOTAL,NNPS,TOTAL_ITEM
9,1_20,ITEMS,NNP,TOTAL_ITEM
9,1_20,1,CD,TOTAL_ITEM
9,1_20,TOTAL,NNP,TOTAL_QTY
9,1_20,QTY,NNP,TOTAL_QTY
9,1_20,1,CD,TOTAL_QTY
9,1_20,NET,NNP,TOTAL
9,1_20,TOTAL,NNP,TOTAL
9,1_20,10,CD,TOTAL
9,1_20,CASH,NNP,CASH
9,1_20,10,CD,CASH
9,1_20,IN,NNP,EXTRA
9,1_20,CASE,NNP,EXTRA
9,1_20,OF,NNP,EXTRA
9,1_20,PRICE,NNP,EXTRA
9,1_20,DISCREPANCY,NNP,EXTRA
9,1_20,RETURN,NNP,EXTRA
9,1_20,THE,NNP,EXTRA
9,1_20,ITEM,NNP,EXTRA
9,1_20,&,CC,EXTRA
9,1_20,BILL,NNP,EXTRA
9,1_20,WITHIN,NNP,EXTRA
9,1_20,7,CD,EXTRA
9,1_20,DAYS,NNP,EXTRA
9,1_20,TO,NNP,EXTRA
9,1_20,REFUND,NNP,EXTRA
9,1_20,THE,NNP,EXTRA
9,1_20,DIFFERENCE,NNP,EXTRA
9,1_20,0,0,EXTRA
9,1_20,$,$,EXTRA
