receipt_number,word,POS,tag
1_18,77,CD,BATCH_CODE
1_18,30,CD,UNIT_PRICE
1_18,1,CD,QTY
1_18,30,CD,AMOUNT
1_18,E.H,NNP,PRODUCT_NAME
1_18,CREAM,NNP,PRODUCT_NAME
1_18,SODA,NNP,PRODUCT_NAME
1_18,192690,CD,BATCH_CODE
1_18,25,CD,UNIT_PRICE
1_18,2,CD,QTY
1_18,50,CD,AMOUNT
1_18,TOTAL,NNPS,TOTAL_ITEM
1_18,ITEMS,NNP,TOTAL_ITEM
1_18,2,CD,TOTAL_ITEM
1_18,TOTAL,NNP,TOTAL_QTY
1_18,QTY,NNP,TOTAL_QTY
1_18,3,CD,TOTAL_QTY
1_18,NET,NNP,TOTAL
1_18,TOTAL,NNP,TOTAL
1_18,80,CD,TOTAL
1_18,CASH,NNP,CASH
1_18,100,CD,CASH
1_18,CHANGE,NNP,BALANCE
1_18,20,CD,BALANCE
1_18,IN,NNP,EXTRA
1_18,CASE,NNP,EXTRA
1_18,OF,NNP,EXTRA
1_18,PRICE,NNP,EXTRA
1_18,DISCREPANCY,NNP,EXTRA
1_18,RETURN,NNP,EXTRA
1_18,THE,NNP,EXTRA
1_18,ITEM,NNP,EXTRA
1_18,&,CC,EXTRA
1_18,BILL,NNP,EXTRA
1_18,WITHIN,NNP,EXTRA
1_18,7,CD,EXTRA
1_18,DAYS,NNP,EXTRA
1_18,TO,NNP,EXTRA
1_18,REFUND,NNP,EXTRA
1_18,THE,NNP,EXTRA
1_18,DIFFERENCE,NNP,EXTRA
1_18,0,0,EXTRA
1_18,$,$,EXTRA
1_18,THANKS,NNP,EXTRA
1_18,FOR,NNP,EXTRA
1_18,MAKING,NNP,EXTRA
1_18,YOUR,NNP,EXTRA
1_18,PURCHASE,NNP,EXTRA
1_18,$,$,EXTRA
1_18,Software,NNP,EXTRA
1_18,by,IN,EXTRA
1_18,mypos,JJ,EXTRA
1_18,0114-500199,JJ,EXTRA
1_18,www.mypos.lk,NN,EXTRA
1_8,ANNAI,NNP,SHOP_NAME
1_8,NAGA,NNP,SHOP_NAME
1_8,FOOD,NNP,SHOP_NAME
1_8,CITY,NNP,SHOP_NAME
1_8,341,CD,SHOP_ADDRESS
1_8,",",",",SHOP_ADDRESS
1_8,POINT,NNP,SHOP_ADDRESS
1_8,PEDRO,NNP,SHOP_ADDRESS
1_8,ROAD,NNP,SHOP_ADDRESS
1_8,",",",",SHOP_ADDRESS
1_8,NALLUR,NNP,SHOP_ADDRESS
1_8,",",",",SHOP_ADDRESS
1_8,JAFFNA,NNP,SHOP_ADDRESS
1_8,021-4927082,NNP,TELEPHONE_NUMBER
1_8,INVOICE,NNP,EXTRA
1_8,CASHIER,NNP,CASHIER
1_8,:,:,CASHIER
1_8,KIRU,NNP,CASHIER
1_8,INV.NO,NNP,INVOICE_NUMBER
1_8,1084848,CD,INVOICE_NUMBER
1_8,DATE,NNP,DATE
1_8,:,:,DATE
1_8,22/03/2019,CD,DATE
1_8,TIME,NN,TIME
1_8,:,:,TIME
1_8,18:53:34,CD,TIME
1_8,PRODUCT,NNP,PRODUCT_NAME
1_8,PRICE,NNP,UNIT_PRICE
1_8,QTY,NNP,QTY
1_8,AMOUNT,NNP,AMOUNT
1_8,NESTLE,NNP,PRODUCT_NAME
1_8,MILO,NNP,PRODUCT_NAME
1_8,RTD,NNP,PRODUCT_NAME
1_8,180,CD,PRODUCT_NAME
1_8,ML,NNP,PRODUCT_NAME
1_8,7,CD,BATCH_CODE
1_8,50,CD,UNIT_PRICE
1_8,2,CD,QTY
1_8,100,CD,AMOUNT
1_8,TOTAL,NNPS,TOTAL_ITEM
1_8,ITEMS,NNP,TOTAL_ITEM
1_8,1,CD,TOTAL_ITEM
1_8,TOTAL,NNP,TOTAL_QTY
1_8,QTY,NNP,TOTAL_QTY
1_8,2,CD,TOTAL_QTY
1_8,NET,NNP,TOTAL
1_8,TOTAL,NNP,TOTAL
1_8,100,CD,TOTAL
1_8,CASH,NNP,CASH
1_8,100,CD,CASH
1_8,IN,NNP,EXTRA
1_8,CASE,NNP,EXTRA
1_8,OF,NNP,EXTRA
1_8,PRICE,NNP,EXTRA
1_8,DISCREPANCY,NNP,EXTRA
1_8,RETURN,NNP,EXTRA
1_8,THE,NNP,EXTRA
1_8,ITEM,NNP,EXTRA
1_8,&,CC,EXTRA
1_8,BILL,NNP,EXTRA
1_8,WITHIN,NNP,EXTRA
1_8,7,CD,EXTRA
1_8,DAYS,NNP,EXTRA
1_8,TO,NNP,EXTRA
1_8,REFUND,NNP,EXTRA
1_8,THE,NNP,EXTRA
1_8,DIFFERENCE,NNP,EXTRA
1_8,0,0,EXTRA
1_8,$,$,EXTRA
1_8,THANKS,NNP,EXTRA
1_8,FOR,NNP,EXTRA
1_8,MAKING,NNP,EXTRA
1_8,YOUR,NNP,EXTRA
1_8,PURCHASE,NNP,EXTRA
1_8,$,$,EXTRA
1_8,Software,NNP,EXTRA
1_8,by,IN,EXTRA
1_8,mypos,JJ,EXTRA
1_8,0114-500199,JJ,EXTRA
1_8,www.mypos.lk,NN,EXTRA
1_41,ANNAI,NNP,SHOP_NAME
1_41,NAGA,NNP,SHOP_NAME
1_41,FOOD,NNP,SHOP_NAME
1_41,CITY,NNP,SHOP_NAME
1_41,341,CD,SHOP_ADDRESS
1_41,",",",",SHOP_ADDRESS
1_41,POINT,NNP,SHOP_ADDRESS
1_41,PEDRO,NNP,SHOP_ADDRESS
1_41,ROAD,NNP,SHOP_ADDRESS
1_41,",",",",SHOP_ADDRESS
1_41,NALLUR,NNP,SHOP_ADDRESS
1_41,",",",",SHOP_ADDRESS
1_41,JAFFNA,NNP,SHOP_ADDRESS
1_41,021-4927082,NNP,TELEPHONE_NUMBER
1_41,INVOICE,NNP,EXTRA
1_41,CASHIER,NNP,CASHIER
1_41,:,:,CASHIER
1_41,KIRU,NNP,CASHIER
1_41,INV.NO,NNP,INVOICE_NUMBER
1_41,1086040,CD,INVOICE_NUMBER
1_41,DATE,NNP,DATE
1_41,:,:,DATE
1_41,26/03/2019,CD,DATE
1_41,TIME,NN,TIME
1_41,:,:,TIME
1_41,20:07:45,CD,TIME
1_41,PRODUCT,NNP,PRODUCT_NAME
1_41,PRICE,NNP,UNIT_PRICE
1_41,QTY,NNP,QTY
1_41,AMOUNT,NNP,AMOUNT
1_41,KOTMALE,NNP,PRODUCT_NAME
1_41,CHOCOLATE,NNP,PRODUCT_NAME
1_41,MILK,NNP,PRODUCT_NAME
1_41,-,:,EXTRA
1_41,180ml,CD,PRODUCT_NAME
1_41,46,CD,BATCH_CODE
1_41,45,CD,UNIT_PRICE
1_41,1,CD,QTY
1_41,45,CD,AMOUNT
1_41,TOTAL,NNPS,TOTAL_ITEM
1_41,ITEMS,NNP,TOTAL_ITEM
1_41,1,CD,TOTAL_ITEM
1_41,TOTAL,NNP,TOTAL_QTY
1_41,QTY,NNP,TOTAL_QTY
1_41,1,CD,TOTAL_QTY
1_41,NET,NNP,TOTAL
1_41,TOTAL,NNP,TOTAL
1_41,45,CD,TOTAL
1_41,CASH,NNP,CASH
1_41,50,CD,CASH
1_41,CHANGE,NNP,BALANCE
1_41,5,CD,BALANCE
1_41,IN,NNP,EXTRA
1_41,CASE,NNP,EXTRA
1_41,OF,NNP,EXTRA
1_41,PRICE,NNP,EXTRA
1_41,DISCREPANCY,NNP,EXTRA
1_41,RETURN,NNP,EXTRA
1_41,THE,NNP,EXTRA
1_41,ITEM,NNP,EXTRA
1_41,&,CC,EXTRA
1_41,BILL,NNP,EXTRA
1_41,WITHIN,NNP,EXTRA
1_41,7,CD,EXTRA
1_41,DAYS,NNP,EXTRA
1_41,TO,NNP,EXTRA
1_41,REFUND,NNP,EXTRA
1_41,THE,NNP,EXTRA
1_41,DIFFERENCE,NNP,EXTRA
1_41,0,0,EXTRA
1_41,$,$,EXTRA
1_41,THANKS,NNP,EXTRA
1_41,FOR,NNP,EXTRA
1_41,MAKING,NNP,EXTRA
1_41,YOUR,NNP,EXTRA
1_41,PURCHASE,NNP,EXTRA
1_41,$,$,EXTRA
1_41,Software,NNP,EXTRA
1_41,by,IN,EXTRA
1_41,myPOS,JJ,EXTRA
1_41,0114-500199,JJ,EXTRA
1_41,www.mypos.lk,NN,EXTRA
1_99,ANNAI,NNP,SHOP_NAME
1_83,NAGA,NNP,SHOP_NAME
1_83,FOOD,NNP,SHOP_NAME
1_83,CITY,NNP,SHOP_NAME
1_83,341,CD,SHOP_ADDRESS
1_83,",",",",SHOP_ADDRESS
1_83,POINT,NNP,SHOP_ADDRESS
1_83,PEDRO,NNP,SHOP_ADDRESS
1_83,ROAD,NNP,SHOP_ADDRESS
1_83,",",",",SHOP_ADDRESS
1_83,NALLUR,NNP,SHOP_ADDRESS
1_83,",",",",SHOP_ADDRESS
1_83,JAFFNA,NNP,SHOP_ADDRESS
1_83,021-4927082,NNP,TELEPHONE_NUMBER
1_83,INVOICE,NNP,EXTRA
1_83,CASHIER,NNP,CASHIER
1_83,:,:,CASHIER
1_83,KIRU,NNP,CASHIER
1_83,INV.NO,NNP,INVOICE_NUMBER
1_83,1084036,CD,INVOICE_NUMBER
1_83,DATE,NNP,DATE
1_83,:,:,DATE
1_83,19/03/2019,CD,DATE
1_83,TIME,NN,TIME
1_83,:,:,TIME
1_83,14:46:15,CD,TIME
1_83,PRODUCT,NNP,PRODUCT_NAME
1_83,PRICE,NNP,UNIT_PRICE
1_83,QTY,NNP,QTY
1_83,AMOUNT,NNP,AMOUNT
1_83,Sprite,NNP,PRODUCT_NAME
1_83,party,NN,PRODUCT_NAME
1_83,2.25L,CD,PRODUCT_NAME
1_83,1919,CD,BATCH_CODE
1_83,250,CD,UNIT_PRICE
1_83,1,CD,QTY
1_83,250,CD,AMOUNT
1_83,TOTAL,NNPS,TOTAL_ITEM
1_83,ITEMS,NNP,TOTAL_ITEM
1_83,1,CD,TOTAL_ITEM
1_83,TOTAL,NNP,TOTAL_QTY
1_83,QTY,NNP,TOTAL_QTY
1_83,1,CD,TOTAL_QTY
1_83,NET,NNP,TOTAL
1_83,TOTAL,NNP,TOTAL
1_83,250,CD,TOTAL
1_83,CASH,NNP,CASH
1_83,500,CD,CASH
1_83,Change,NNP,BALANCE
1_83,250,CD,BALANCE
1_83,IN,NNP,EXTRA
1_83,CASE,NNP,EXTRA
1_83,OF,NNP,EXTRA
1_83,PRICE,NNP,EXTRA
1_83,DISCREPANCY,NNP,EXTRA
1_83,RETURN,NNP,EXTRA
1_83,THE,NNP,EXTRA
1_83,ITEM,NNP,EXTRA
1_83,&,CC,EXTRA
1_83,BILL,NNP,EXTRA
1_83,WITHIN,NNP,EXTRA
1_83,7,CD,EXTRA
1_83,DAYS,NNP,EXTRA
1_83,TO,NNP,EXTRA
1_83,REFUND,NNP,EXTRA
1_83,THE,NNP,EXTRA
1_83,DIFFERENCE,NNP,EXTRA
1_83,0,0,EXTRA
1_83,$,$,EXTRA
1_83,THANKS,NNP,EXTRA
1_83,FOR,NNP,EXTRA
1_83,MAKING,NNP,EXTRA
1_83,YOUR,NNP,EXTRA
1_83,PURCHASE,NNP,EXTRA
1_83,$,$,EXTRA
1_83,Software,NNP,EXTRA
1_83,by,IN,EXTRA
1_83,myPOS,JJ,EXTRA
1_83,0114-500199,JJ,EXTRA
1_83,www.mypos.lk,NN,EXTRA
1_84,ANNAI,NNP,SHOP_NAME
1_84,NAGA,NNP,SHOP_NAME
1_84,FOOD,NNP,SHOP_NAME
1_84,CITY,NNP,SHOP_NAME
1_84,341,CD,SHOP_ADDRESS
1_84,",",",",SHOP_ADDRESS
1_84,POINT,NNP,SHOP_ADDRESS
1_84,PEDRO,NNP,SHOP_ADDRESS
1_84,ROAD,NNP,SHOP_ADDRESS
1_84,",",",",SHOP_ADDRESS
1_84,NALLUR,NNP,SHOP_ADDRESS
1_84,",",",",SHOP_ADDRESS
1_84,JAFFNA,NNP,SHOP_ADDRESS
1_84,021-4927082,NNP,TELEPHONE_NUMBER
1_84,INVOICE,NNP,EXTRA
1_84,CASHIER,NNP,CASHIER
1_84,:,:,CASHIER
1_84,KIRU,NNP,CASHIER
1_84,INV.NO,NNP,INVOICE_NUMBER
1_84,1083892,CD,INVOICE_NUMBER
1_84,DATE,NNP,DATE
1_84,:,:,DATE
1_84,18/03/2019,CD,DATE
1_84,TIME,NN,TIME
1_84,:,:,TIME
1_84,20:20:20,CD,TIME
1_84,PRODUCT,NNP,PRODUCT_NAME
1_84,PRICE,NNP,UNIT_PRICE
1_84,QTY,NNP,QTY
1_84,AMOUNT,NNP,AMOUNT
1_84,Sakthi,NNP,PRODUCT_NAME
1_84,pepper,NN,PRODUCT_NAME
1_84,powder,NN,PRODUCT_NAME
1_84,50g,CD,PRODUCT_NAME
1_84,120,CD,BATCH_CODE
1_84,105,CD,UNIT_PRICE
1_84,1,CD,QTY
1_84,105,CD,AMOUNT
1_84,TOTAL,NNPS,TOTAL_ITEM
1_84,ITEMS,NNP,TOTAL_ITEM
1_84,1,CD,TOTAL_ITEM
1_84,TOTAL,NNP,TOTAL_QTY
1_84,QTY,NNP,TOTAL_QTY
1_84,1,CD,TOTAL_QTY
1_84,NET,NNP,TOTAL
1_84,TOTAL,NNP,TOTAL
1_84,105,CD,TOTAL
1_84,CASH,NNP,CASH
1_84,105,CD,CASH
1_84,IN,NNP,EXTRA
1_84,CASE,NNP,EXTRA
1_84,OF,NNP,EXTRA
1_84,PRICE,NNP,EXTRA
1_84,DISCREPANCY,NNP,EXTRA
1_84,RETURN,NNP,EXTRA
1_84,THE,NNP,EXTRA
1_84,ITEM,NNP,EXTRA
1_84,&,CC,EXTRA
1_84,BILL,NNP,EXTRA
1_84,WITHIN,NNP,EXTRA
1_84,7,CD,EXTRA
1_84,DAYS,NNP,EXTRA
1_84,TO,NNP,EXTRA
1_84,REFUND,NNP,EXTRA
1_84,THE,NNP,EXTRA
1_84,DIFFERENCE,NNP,EXTRA
1_84,0,0,EXTRA
1_84,$,$,EXTRA
1_84,THANKS,NNP,EXTRA
1_84,FOR,NNP,EXTRA
1_84,MAKING,NNP,EXTRA
1_84,YOUR,NNP,EXTRA
1_84,PURCHASE,NNP,EXTRA
1_84,$,$,EXTRA
1_84,Software,NNP,EXTRA
1_84,by,IN,EXTRA
1_84,myPOS,JJ,EXTRA
1_84,0114-500199,JJ,EXTRA
1_84,www.mypos.lk,NN,EXTRA
1_20,ANNAI,NNP,SHOP_NAME
1_20,NAGA,NNP,SHOP_NAME
1_20,FOOD,NNP,SHOP_NAME
1_20,CITY,NNP,SHOP_NAME
1_20,341,CD,SHOP_ADDRESS
1_20,",",",",SHOP_ADDRESS
1_20,POINT,NNP,SHOP_ADDRESS
1_20,PEDRO,NNP,SHOP_ADDRESS
1_20,ROAD,NNP,SHOP_ADDRESS
1_20,",",",",SHOP_ADDRESS
1_20,NALLUR,NNP,SHOP_ADDRESS
1_20,",",",",SHOP_ADDRESS
1_20,JAFFNA,NNP,SHOP_ADDRESS
1_20,021-4927082,NNP,TELEPHONE_NUMBER
1_20,INVOICE,NNP,EXTRA
1_20,CASHIER,NNP,CASHIER
1_20,:,:,CASHIER
1_20,KIRU,NNP,CASHIER
1_20,INV.NO,NNP,INVOICE_NUMBER
1_20,1084924,CD,INVOICE_NUMBER
1_20,DATE,NNP,DATE
1_20,:,:,DATE
1_20,22/03/2019,CD,DATE
1_20,TIME:19:08:06,NNP,TIME
1_20,PRODUCT,NNP,PRODUCT_NAME
1_20,PRICE,NNP,UNIT_PRICE
1_20,QTY,NNP,QTY
1_20,AMOUNT,NNP,AMOUNT
1_20,BLACKCURRANT,NNP,PRODUCT_NAME
1_20,LOLLIPOP,NNP,PRODUCT_NAME
1_20,6677,CD,BATCH_CODE
1_20,10,CD,UNIT_PRICE
1_20,1,CD,QTY
1_20,10,CD,AMOUNT
1_20,TOTAL,NNPS,TOTAL_ITEM
1_20,ITEMS,NNP,TOTAL_ITEM
1_20,1,CD,TOTAL_ITEM
1_20,TOTAL,NNP,TOTAL_QTY
1_20,QTY,NNP,TOTAL_QTY
1_20,1,CD,TOTAL_QTY
1_20,NET,NNP,TOTAL
1_20,TOTAL,NNP,TOTAL
1_20,10,CD,TOTAL
1_20,CASH,NNP,CASH
1_20,10,CD,CASH
1_20,IN,NNP,EXTRA
1_20,CASE,NNP,EXTRA
1_20,OF,NNP,EXTRA
1_20,PRICE,NNP,EXTRA
1_20,DISCREPANCY,NNP,EXTRA
1_20,RETURN,NNP,EXTRA
1_20,THE,NNP,EXTRA
1_20,ITEM,NNP,EXTRA
1_20,&,CC,EXTRA
1_20,BILL,NNP,EXTRA
1_20,WITHIN,NNP,EXTRA
1_20,7,CD,EXTRA
1_20,DAYS,NNP,EXTRA
1_20,TO,NNP,EXTRA
1_20,REFUND,NNP,EXTRA
1_20,THE,NNP,EXTRA
1_20,DIFFERENCE,NNP,EXTRA
1_20,0,0,EXTRA
1_20,$,$,EXTRA
1_20,THANKS,NNP,EXTRA
1_20,FOR,NNP,EXTRA
1_20,MAKING,NNP,EXTRA
1_20,YOUR,NNP,EXTRA
1_20,PURCHASE,NNP,EXTRA
1_20,$,$,EXTRA
1_20,Software,NNP,EXTRA
1_20,by,IN,EXTRA
1_20,mypos,JJ,EXTRA
1_20,0114-500199,JJ,EXTRA
1_20,www.mypos.lk,NN,EXTRA
1_4,ANNAI,NNP,SHOP_NAME
1_4,NAGA,NNP,SHOP_NAME
1_4,FOOD,NNP,SHOP_NAME
1_4,CITY,NNP,SHOP_NAME
1_4,341,CD,SHOP_ADDRESS
1_4,",",",",SHOP_ADDRESS
1_4,POINT,NNP,SHOP_ADDRESS
1_4,PEDRO,NNP,SHOP_ADDRESS
1_4,ROAD,NNP,SHOP_ADDRESS
1_4,",",",",SHOP_ADDRESS
1_4,NALLUR,NNP,SHOP_ADDRESS
1_4,",",",",SHOP_ADDRESS
1_4,JAFFNA,NNP,SHOP_ADDRESS
1_4,021-4927082,NNP,TELEPHONE_NUMBER
1_4,INVOICE,NNP,EXTRA
1_4,CASHIER,NNP,CASHIER
1_4,:,:,CASHIER
1_4,THAR,NNP,CASHIER
1_4,INV.NO,NNP,INVOICE_NUMBER
1_4,1084830,CD,INVOICE_NUMBER
1_4,DATE,NNP,DATE
1_4,:,:,DATE
1_4,22/03/2019,CD,DATE
1_4,TIME,NN,TIME
1_4,:,:,TIME
1_4,15:53:28,CD,TIME
1_4,PRODUCT,NNP,PRODUCT_NAME
1_4,PRICE,NNP,UNIT_PRICE
1_4,QTY,NNP,QTY
1_4,AMOUNT,NNP,AMOUNT
1_4,E.H,NNP,PRODUCT_NAME
1_4,DRINKING,NNP,PRODUCT_NAME
1_4,WATER-1L,NNP,PRODUCT_NAME
1_4,190898,CD,BATCH_CODE
1_4,50,CD,UNIT_PRICE
1_4,1,CD,QTY
1_4,50,CD,AMOUNT
1_4,TOTAL,NNPS,TOTAL_ITEM
1_4,ITEMS,NNP,TOTAL_ITEM
1_4,1,CD,TOTAL_ITEM
1_4,TOTAL,NNP,TOTAL_QTY
1_4,QTY,NNP,TOTAL_QTY
1_4,1,CD,TOTAL_QTY
1_4,NET,NNP,TOTAL
1_4,TOTAL,NNP,TOTAL
1_4,50,CD,TOTAL
1_4,CASH,NNP,CASH
1_4,50,CD,CASH
1_4,IN,NNP,EXTRA
1_4,CASE,NNP,EXTRA
1_4,OF,NNP,EXTRA
1_4,PRICE,NNP,EXTRA
1_4,DISCREPANCY,NNP,EXTRA
1_4,RETURN,NNP,EXTRA
1_4,THE,NNP,EXTRA
1_4,ITEM,NNP,EXTRA
